trial_id,server_received_connection_time,server_computation_start_time,server_computation_end_time,server_sent_data_time,client_received_time,start_time,client_connection_finished_time,client_setup_start_time,client_setup_finished_time,client_computation_start_time,client_computation_finish_time,prediction
533,1679442326.522919,1679442326.5239165,1679442326.9999855,1679442327.001102,1679442327.066721,1679442326.5219145,1679442326.522919,1679442326.522919,1679442326.522919,1679442327.066721,1679442328.519661,0
534,1679442328.5226512,1679442328.5226512,1679442328.9348614,1679442328.9358582,1679442329.0146785,1679442328.5216558,1679442328.5216558,1679442328.5216558,1679442328.5226512,1679442329.0146785,1679442330.5031507,0
535,1679442330.505144,1679442330.505144,1679442330.9126892,1679442330.9136863,1679442330.9839506,1679442330.5041485,1679442330.505144,1679442330.505144,1679442330.505144,1679442330.9839506,1679442332.550239,0
536,1679442332.5522325,1679442332.5522325,1679442333.0004346,1679442333.0014248,1679442333.0731845,1679442332.5522325,1679442332.5522325,1679442332.5522325,1679442332.5522325,1679442333.0731845,1679442334.5435014,0
537,1679442334.5456517,1679442334.5456517,1679442334.9372077,1679442334.9382052,1679442335.0100522,1679442334.544585,1679442334.544585,1679442334.544585,1679442334.5456517,1679442335.0100522,1679442336.5668511,0
538,1679442336.5698419,1679442336.5708375,1679442337.0579803,1679442337.0589774,1679442337.1780965,1679442336.5688443,1679442336.5698419,1679442336.5698419,1679442336.5698419,1679442337.179093,1679442338.6959524,0
539,1679442338.697863,1679442338.697863,1679442339.124438,1679442339.1254346,1679442339.1945477,1679442338.6969285,1679442338.697863,1679442338.697863,1679442338.697863,1679442339.1945477,1679442340.6479466,0
540,1679442340.650098,1679442340.650098,1679442341.0271041,1679442341.0281193,1679442341.0956483,1679442340.6489434,1679442340.650098,1679442340.650098,1679442340.650098,1679442341.0966551,1679442342.723088,0
541,1679442342.7250788,1679442342.7260756,1679442343.1004407,1679442343.1014388,1679442343.1622336,1679442342.7240815,1679442342.7250788,1679442342.7250788,1679442342.7250788,1679442343.1622336,1679442344.6525612,0
542,1679442344.654684,1679442344.654684,1679442345.0717854,1679442345.0728674,1679442345.1346676,1679442344.653558,1679442344.654684,1679442344.654684,1679442344.654684,1679442345.1346676,1679442346.6780615,0
