id,server_received_connection_time,prediction,server_computation_start_time,server_computation_end_time,server_sent_data_time,client_received,start_time,client_connection_finished_time
430,1679443437.5130486,0,1679443437.5130486,1679443437.5142028,1679443437.5142028,1679443437.5142028,1679443437.5130486,1679443437.5130486
431,1679443437.5152063,0,1679443437.5152063,1679443437.5152063,1679443437.5152063,1679443437.5162091,1679443437.5142028,1679443437.5152063
432,1679443437.5162091,0,1679443437.5162091,1679443437.5173779,1679443437.5173779,1679443437.5173779,1679443437.5162091,1679443437.5162091
433,1679443437.5173779,0,1679443437.5173779,1679443437.5185637,1679443437.5185637,1679443437.5185637,1679443437.5173779,1679443437.5173779
434,1679443437.5195637,0,1679443437.5195637,1679443437.521936,1679443437.521936,1679443437.521936,1679443437.5185637,1679443437.5195637
435,1679443437.521936,0,1679443437.521936,1679443437.5234227,1679443437.5234227,1679443437.5234227,1679443437.521936,1679443437.521936
436,1679443437.52443,0,1679443437.52443,1679443437.52443,1679443437.52443,1679443437.52443,1679443437.5234227,1679443437.52443
437,1679443437.525685,0,1679443437.525685,1679443437.525685,1679443437.525685,1679443437.525685,1679443437.52443,1679443437.525685
438,1679443437.5269055,0,1679443437.5269055,1679443437.5269055,1679443437.5269055,1679443437.5269055,1679443437.525685,1679443437.5269055
439,1679443437.5281744,0,1679443437.5281744,1679443437.5281744,1679443437.5281744,1679443437.5281744,1679443437.5269055,1679443437.5281744
440,1679443437.5293195,0,1679443437.5293195,1679443437.5293195,1679443437.5293195,1679443437.5293195,1679443437.5281744,1679443437.5293195
441,1679443437.5304823,0,1679443437.5304823,1679443437.5314937,1679443437.5314937,1679443437.5314937,1679443437.5304823,1679443437.5304823
442,1679443437.5314937,0,1679443437.5314937,1679443437.5328553,1679443437.5328553,1679443437.5328553,1679443437.5314937,1679443437.5314937
443,1679443437.5328553,0,1679443437.5328553,1679443437.5342305,1679443437.5342305,1679443437.5342305,1679443437.5328553,1679443437.5328553
444,1679443437.5342305,0,1679443437.5342305,1679443437.535493,1679443437.535493,1679443437.535493,1679443437.5342305,1679443437.5342305
445,1679443437.535493,0,1679443437.535493,1679443437.5369768,1679443437.5369768,1679443437.5369768,1679443437.535493,1679443437.535493
446,1679443437.538459,0,1679443437.538459,1679443437.538459,1679443437.538459,1679443437.538459,1679443437.5369768,1679443437.538459
447,1679443437.539887,0,1679443437.539887,1679443437.539887,1679443437.539887,1679443437.539887,1679443437.538459,1679443437.539887
448,1679443437.5408988,0,1679443437.5408988,1679443437.5408988,1679443437.5408988,1679443437.5408988,1679443437.539887,1679443437.5408988
449,1679443437.5421376,0,1679443437.5421376,1679443437.5421376,1679443437.5421376,1679443437.5421376,1679443437.5408988,1679443437.5421376
450,1679443437.5434842,0,1679443437.5434842,1679443437.5434842,1679443437.5434842,1679443437.5434842,1679443437.5421376,1679443437.5434842
451,1679443437.544522,0,1679443437.544522,1679443437.544522,1679443437.544522,1679443437.544522,1679443437.5434842,1679443437.544522
