server_computation_start_time,server_computation_end_time,server_sent_data_time,start_time,initial_network_connection_finished,client_received_time
1680553977.5947807,1680553977.5947807,1680553977.5947807,1680553977.5947807,1680553977.5947807,1680553977.5947807
1680553977.5947807,1680553977.599397,1680553977.599397,1680553977.5947807,1680553977.5947807,1680553977.599397
1680553977.6004033,1680553977.6004033,1680553977.6004033,1680553977.599397,1680553977.6004033,1680553977.6004033
1680553977.6004033,1680553977.6004033,1680553977.6004033,1680553977.6004033,1680553977.6004033,1680553977.602912
1680553977.6035752,1680553977.6044827,1680553977.6044827,1680553977.602912,1680553977.6035752,1680553977.6044827
1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827
1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827
1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827
1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827
1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827
1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827
1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827
1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827,1680553977.6044827
1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6188323,1680553977.6194127,1680553977.6194127
1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127
1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127
1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127
1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127
1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127
1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127
1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127,1680553977.6194127
1680553977.631129,1680553977.6321359,1680553977.6321359,1680553977.6194127,1680553977.631129,1680553977.6321359
1680553977.6334574,1680553977.634464,1680553977.634464,1680553977.6321359,1680553977.6334574,1680553977.634464
1680553977.6351676,1680553977.6368876,1680553977.6368876,1680553977.6351676,1680553977.6351676,1680553977.6368876
1680553977.6380062,1680553977.6386309,1680553977.6386309,1680553977.6374354,1680553977.6380062,1680553977.6386309
1680553977.6386309,1680553977.6400466,1680553977.6400466,1680553977.6386309,1680553977.6386309,1680553977.6400466
1680553977.6400466,1680553977.6400466,1680553977.6400466,1680553977.6400466,1680553977.6400466,1680553977.6400466
1680553977.6400466,1680553977.6438656,1680553977.6438656,1680553977.6400466,1680553977.6400466,1680553977.6438656
1680553977.6438656,1680553977.6438656,1680553977.6438656,1680553977.6438656,1680553977.6438656,1680553977.6438656
1680553977.6467414,1680553977.6475742,1680553977.6475742,1680553977.6438656,1680553977.6467414,1680553977.6475742
1680553977.6481988,1680553977.6494951,1680553977.6494951,1680553977.6481988,1680553977.6481988,1680553977.6494951
1680553977.650504,1680553977.651389,1680553977.651389,1680553977.6494951,1680553977.650504,1680553977.651389
1680553977.6529183,1680553977.6529183,1680553977.6529183,1680553977.651389,1680553977.6529183,1680553977.6529183
1680553977.6529183,1680553977.6555676,1680553977.6555676,1680553977.6529183,1680553977.6529183,1680553977.6555676
1680553977.6566024,1680553977.6571531,1680553977.6571531,1680553977.6555676,1680553977.6566024,1680553977.6571531
1680553977.6571531,1680553977.6593175,1680553977.6593175,1680553977.6571531,1680553977.6571531,1680553977.6593175
1680553977.6593175,1680553977.6607995,1680553977.6607995,1680553977.6593175,1680553977.6593175,1680553977.6607995
1680553977.6607995,1680553977.662264,1680553977.662264,1680553977.6607995,1680553977.6607995,1680553977.662264
1680553977.663225,1680553977.6637301,1680553977.6637301,1680553977.662264,1680553977.662264,1680553977.6637301
1680553977.664522,1680553977.6664457,1680553977.6664457,1680553977.6637301,1680553977.664522,1680553977.6664457
1680553977.6676462,1680553977.6683447,1680553977.6683447,1680553977.6664457,1680553977.6676462,1680553977.6683447
1680553977.6683447,1680553977.6683447,1680553977.6683447,1680553977.6683447,1680553977.6683447,1680553977.6683447
1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6683447,1680553977.6720126,1680553977.6720126
1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6720126
1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6720126
1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6720126
1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6720126
1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6720126,1680553977.6720126
1680553977.6720126,1680553977.6825244,1680553977.6825244,1680553977.6720126,1680553977.6720126,1680553977.6825244
1680553977.6825244,1680553977.6825244,1680553977.6825244,1680553977.6825244,1680553977.6825244,1680553977.6825244
1680553977.6867082,1680553977.6876638,1680553977.6876638,1680553977.6825244,1680553977.6867082,1680553977.6876638
1680553977.6883924,1680553977.6883924,1680553977.6883924,1680553977.6876638,1680553977.6883924,1680553977.6883924
1680553977.6909094,1680553977.6909094,1680553977.6909094,1680553977.6883924,1680553977.6909094,1680553977.6909094
1680553977.6909094,1680553977.6909094,1680553977.6909094,1680553977.6909094,1680553977.6909094,1680553977.6909094
1680553977.6909094,1680553977.6909094,1680553977.6909094,1680553977.6909094,1680553977.6909094,1680553977.6909094
1680553977.6909094,1680553977.6984203,1680553977.6984203,1680553977.6909094,1680553977.6909094,1680553977.6984203
1680553977.7006629,1680553977.7018375,1680553977.7018375,1680553977.6984203,1680553977.7006629,1680553977.7018375
1680553977.702771,1680553977.702771,1680553977.702771,1680553977.7018375,1680553977.702771,1680553977.702771
1680553977.702771,1680553977.702771,1680553977.702771,1680553977.702771,1680553977.702771,1680553977.702771
1680553977.702771,1680553977.702771,1680553977.702771,1680553977.702771,1680553977.702771,1680553977.702771
1680553977.702771,1680553977.702771,1680553977.702771,1680553977.702771,1680553977.702771,1680553977.702771
1680553977.7124577,1680553977.7129648,1680553977.7129648,1680553977.702771,1680553977.7124577,1680553977.7129648
1680553977.7144718,1680553977.715702,1680553977.715702,1680553977.7129648,1680553977.7129648,1680553977.715702
1680553977.7165616,1680553977.7165616,1680553977.7165616,1680553977.715702,1680553977.7165616,1680553977.7165616
1680553977.7165616,1680553977.719465,1680553977.719465,1680553977.7165616,1680553977.7165616,1680553977.719465
1680553977.7204287,1680553977.7204287,1680553977.7204287,1680553977.719465,1680553977.7204287,1680553977.7204287
1680553977.7204287,1680553977.7204287,1680553977.7204287,1680553977.7204287,1680553977.7204287,1680553977.7204287
